MemberType,Latitude,Longitude,Status,DeviceOS,ModelName,UserToken,RequestDateTime,_id
FullMember,48.534961,19.610980,C,IOS,iphone,3cTSreaoU8AVbJGC4aecIz9ShhcEGUVSiPWw,2024-09-23 00:14:13.849,0E6GI5IBFzK-ezUpPe9D
FullMember,41.653758,36.119217,C,,,kqMvsWGFxFOAfKyaz8aAvCZdori3eKJxTXF4,2024-09-23 00:15:08.208,5k-HI5IBFzK-ezUpEQ2b
FullMember,89.290538,87.774585,C,AND,oppo T51,CQE35AKGJmE7ExdLz7OfzN7aQwdXwT4tNAhc,2024-09-23 00:15:16.455,nk-HI5IBFzK-ezUpMRXQ
FullMember,-34.009601,63.430040,C,IOS,iphone,vaNJOjbyfk3lzIuulG9w0fQDPCUmFCwm0d56,2024-09-23 00:15:21.040,ak-HI5IBFzK-ezUpQxq_
FullMember,-54.904403,170.480376,C,,,BddGsMafI9AsAulzZobX9uuBLDzrfl3v7XwT,2024-09-23 00:15:40.060,8k-HI5IBFzK-ezUpji0L
FullMember,3.374778,-68.131080,C,,,OA1IWGRnGXlr4FCiUdo37B9WIZKbttWbVhyE,2024-09-23 00:15:41.484,YE-HI5IBFzK-ezUpky-X
FullMember,-28.949059,-163.511758,C,AND,oppo T51,CBAa6Y8MJuGV4BHxTd6jH6p8FuZ5RrHZpHON,2024-09-23 00:15:43.842,4E-HI5IBFzK-ezUpnDHN
FullMember,-74.167516,-94.709913,C,IOS,iphone,So4ljdBvuyUdLSR66GaqSiKg54Rzmz6ME1gS,2024-09-23 00:15:50.064,e0-HI5IBFzK-ezUptTge
FullMember,-83.155427,-107.182876,C,AND,oppo T51,NEfCWx1OPPeFc6pomWTr1sMipRfPZwZU3UFe,2024-09-23 00:16:07.329,qU-HI5IBFzK-ezUp-EmQ
FullMember,41.754083,152.385236,C,AND,oppo T51,JN5cGIylqFsHHgOb4ACcLvQM6Oqdj2K0Zbrv,2024-09-23 00:16:09.697,8k-II5IBFzK-ezUpAUvN
FullMember,-16.211922,-42.563145,C,,,fapKgR6xyhQNeQHBbsdAZ7fb4D8CZk29Im63,2024-09-23 00:16:11.940,G0-II5IBFzK-ezUpCk6P
FullMember,62.864074,-58.930308,C,IOS,iphone 20 pro,abg3An5Nypnfg2AAoJehRDxTkJeIpFtPz6W1,2024-09-23 00:16:12.837,-0-II5IBFzK-ezUpDk4Q
FullMember,-31.257945,-37.618560,C,AND,samsung,hTJcpRf8FhSuxrPZcRvAwOs6I8O2WTxTJ1xc,2024-09-23 00:16:18.217,aE-II5IBFzK-ezUpI1QX
FullMember,5.946207,162.406997,C,AND,oppo T51,azcjoAzOFttJXQFHDrFnDsE8k0wP0W3JDKx4,2024-09-23 00:16:25.756,E0-II5IBFzK-ezUpQFqL
FullMember,-15.510266,43.641159,C,IOS,iphone 13 mini,j2rmFhXYBM1VC8GciincO0keH0zTAkS0DWxl,2024-09-23 00:16:32.312,2k-II5IBFzK-ezUpWl0j
